pdb,execution_time
pdb5q9d_A_hinge_1_sigma0.5.pdb,0.794186
pdb5q9d_A_hinge_6_sigma1.0.pdb,0.517199
pdb5q9d_A_hinge_10_sigma1.5.pdb,0.202766
pdb5q9d_A_hinge_2_sigma0.5.pdb,0.739909
pdb5q9d_A_hinge_8_sigma1.0.pdb,0.459389
pdb5q9d_A_hinge_10_sigma0.5.pdb,0.799147
pdb5q9d_A_hinge_6_sigma0.5.pdb,0.772523
pdb5q9d_A_hinge_2_sigma1.0.pdb,0.493622
pdb5q9d_A_hinge_4_sigma0.5.pdb,0.748184
pdb5q9d_A_hinge_5_sigma0.5.pdb,0.730367
pdb5q9d_A_hinge_1_sigma1.5.pdb,0.226619
pdb5q9d_A_hinge_9_sigma1.5.pdb,0.209343
pdb5q9d_A_hinge_5_sigma1.5.pdb,0.205782
pdb5q9d_A_hinge_0_sigma1.5.pdb,0.19936
pdb5q9d_A_hinge_5_sigma1.0.pdb,0.497184
pdb5q9d_A_hinge_3_sigma1.0.pdb,0.554279
pdb5q9d_A_hinge_10_sigma1.0.pdb,0.463542
pdb5q9d_A_hinge_4_sigma1.0.pdb,0.519396
pdb5q9d_A_hinge_0_sigma1.0.pdb,0.476005
pdb8f2d_A_hinge_3_sigma1.5.pdb,0.133329
pdb8f2d_A_hinge_7_sigma1.0.pdb,0.322034
pdb8f2d_A_hinge_10_sigma1.0.pdb,0.353296
pdb8f2d_A_hinge_8_sigma1.5.pdb,0.176746
pdb8f2d_A_hinge_8_sigma0.5.pdb,0.58105
pdb8f2d_A_hinge_1_sigma1.5.pdb,0.151652
pdb8f2d_A_hinge_3_sigma0.5.pdb,0.581093
pdb8f2d_A_hinge_9_sigma1.0.pdb,0.382178
pdb8f2d_A_hinge_5_sigma0.5.pdb,0.55523
pdb8f2d_A_hinge_1_sigma0.5.pdb,0.577085
pdb8f2d_A_hinge_10_sigma1.5.pdb,0.168519
pdb8f2d_A_hinge_6_sigma1.0.pdb,0.328532
pdb8f2d_A_hinge_9_sigma0.5.pdb,0.546898
pdb8f2d_A_hinge_4_sigma0.5.pdb,0.592287
pdb8f2d_A_hinge_5_sigma1.0.pdb,0.338633
pdb8f2d_A_hinge_9_sigma1.5.pdb,0.171113
pdb8f2d_A_hinge_4_sigma1.5.pdb,0.186667
pdb8f2d_A_hinge_0_sigma1.5.pdb,0.165304
pdb8f2d_A_hinge_5_sigma1.5.pdb,0.164358
pdb8f2d_A_hinge_1_sigma1.0.pdb,0.360442
pdb8f2d_A_hinge_7_sigma0.5.pdb,0.58071
pdb8f2d_A_hinge_2_sigma1.0.pdb,0.413817
pdb8f2d_A_hinge_7_sigma1.5.pdb,0.127545
pdb8f2d_A_hinge_2_sigma0.5.pdb,0.557096
pdb8f2d_A_hinge_6_sigma1.5.pdb,0.134356
pdb8f2d_A_hinge_10_sigma0.5.pdb,0.497623
